"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"21",-0.209845512377156,-0.249112662895228,-0.232008867592362,-0.197619073114868,-0.162645318574254,-0.080949999541156,-0.0201760269226807,0.00223847738101107,1.01516669734143,1.02132200156964,1.01649925361311,1.01539179465808,1.00941377488685,0.996245994517412,0.993030954897373,0.996593835060018,-0.126310949243338,-0.0858138212964969,-0.0443444203712522,-0.0625138431980384,-0.01935277115516,-0.0145673339896431,-0.0220843453435303,-0.00322121691154446,-0.00759265640937824,0.0242756607446531,0.00370148585084204,-0.000947078743257914,0.011423834659113,0.00483262293754803,-0.0145826599255486,-0.00234572982151248,0.216513997194566,0.190529604685279,0.166881287825836,0.145160180981042,0.126276604068156,0.0967500620679386,0.0588658621091376,0.0157031759935923,21400.4773857532
"22",-0.254635771782544,-0.231176257988432,-0.258558406361579,-0.195292642155797,-0.115186951407439,-0.078948706078978,-0.0211261654628381,0.00360575858191401,1.02026469541333,1.01773150318293,1.02506527446502,1.01442867552296,0.99480760023789,0.994175080414159,0.993844912216202,0.99602587227905,-0.096985724367308,-0.110955443705351,-0.0648362222368321,-0.0453267250466784,-0.0204113197464954,-0.0174435547477826,-0.0191809661035417,-0.00351859065079537,-0.00195841589118401,0.0110141545457749,0.0146886447270753,-0.00103068534739115,0.00835233405324342,0.00766398953778041,-0.0135268373569635,-0.000418706674699116,0.217160841428931,0.186101592953351,0.164325722935285,0.147578460121982,0.121068255849374,0.0974943426629447,0.059474781402907,0.0159194995939595,21406.6031215663
"23",-0.244146302692158,-0.229855381187997,-0.227780633472916,-0.179372598701157,-0.151616561786388,-0.05799863702096,-0.0287872413403867,0.00162910718172013,1.01624415822147,1.01229534345871,1.01670977769433,1.00705601765373,1.00437584376507,0.991187310347301,0.995691838498051,0.996807362313469,-0.0853703126141846,-0.0872001835642083,-0.0752918330703176,-0.0481983704802056,-0.00583631609320858,-0.0259076120900537,-0.0195549400481574,-0.00438901829530078,0.0195418950386767,0.0466672715732347,0.00459326544576667,0.00257896431220587,0.00779943318712344,-0.00124309115253482,-0.00892393380585878,-0.00119765178877043,0.215392064733235,0.18563576574383,0.167147431109999,0.148494577758833,0.128855140887533,0.0946431653646476,0.0591701242895509,0.0156922469147627,21407.0632388213
"24",-0.220668603499967,-0.248953982948796,-0.227163251307085,-0.177232437703138,-0.162568096209578,-0.080094939307235,-0.00828826196304558,0.000555445076544533,1.01694767273483,1.02135893849607,1.01410859451459,1.0096326946152,1.00985012316464,0.997313791798907,0.989865114727833,0.996995128541452,-0.102545482471404,-0.100547661100729,-0.070106312074534,-0.0599454101907772,-0.0209126283190335,-0.027618086747732,-0.0197595053483337,-0.00190196077229712,-0.0144551295061173,0.0102718738221034,0.0259588378132221,0.00529624311524831,0.0131429566133523,0.00344808041643228,-0.0132437108008402,-8.89839129480181e-05,0.211487466657435,0.189082041021674,0.165449817969556,0.144955955782844,0.123266233106049,0.0975885946662877,0.0566066377202706,0.0163474440806251,21402.2604149316
"25",-0.241069289765213,-0.167346526518568,-0.26204879433036,-0.16348175378143,-0.146350189620435,-0.0806313591422775,-0.0191130840897953,0.00179000089903076,1.01663656030828,0.997372747558301,1.02426440775462,1.00315951044017,1.00372907291214,0.99625550910012,0.992750385595801,0.996739166549922,-0.0965087167200806,-0.110665417932178,-0.0605434895531222,-0.0570898365006337,-0.0162340899732523,-0.0244906118503528,-0.0190903005266255,-0.00283698181624306,0.0231492629739991,0.00982016660267203,0.0184904276084087,-0.00647562115959919,0.0194676823706386,-0.00588834032716207,-0.00875285656399338,-0.000709422468482019,0.208840391704347,0.191888403315345,0.166014798364642,0.145853109169749,0.127165708838912,0.0994076832023689,0.0580276319980525,0.016086840501738,21402.6805736354
"26",-0.182448326571605,-0.214315534961114,-0.246980251091057,-0.205405922317365,-0.140428134407062,-0.0425763144367648,-0.0148011967257678,0.0028822229322434,1.00152159690913,1.00988683249683,1.0213720663105,1.01293175336778,1.00551412921799,0.986213731455178,0.992220137104028,0.996505595343144,-0.0908413197113305,-0.0960214888826686,-0.07034841292391,-0.0341261953029112,-0.0261033021536847,-0.027862998518091,-0.020767759677852,-0.00302100834279858,0.00435039004306281,0.0279947238641183,0.0246966844858948,0.0142127625119435,-0.000994758652327175,-0.0128098190100644,-0.021680716843774,-0.00195899021927628,0.207780070460585,0.190669801762337,0.169249164987629,0.14666922506816,0.125118067898385,0.10073843026794,0.0609959257781777,0.0156706777648628,21401.1281004493
"27",-0.216565738257001,-0.298361743550658,-0.252603823143168,-0.220695241782067,-0.129872456336169,-0.084338159472863,-0.00653380302687464,0.000169387512387272,1.01360439890493,1.03241727838304,1.02029727904625,1.0199239469861,1.00156403530075,0.99890171755016,0.990574469520609,0.99732543467478,-0.106086939274462,-0.0767076478367019,-0.0556715573532012,-0.0448638835777973,-0.0227192818701533,-0.0346657531732098,-0.0281316476298032,-0.00274878182504329,-0.0119144335927593,0.0451672409150631,0.0437153092071578,0.00851062398810728,-0.00598204720767478,0.00480240666498253,-0.0172014961354876,-0.000539120695697002,0.214540215426485,0.194465803546076,0.168818515958442,0.149862150100767,0.126498023729143,0.0942936103106574,0.0589157987759627,0.0157265160232002,21403.2511868212
"28",-0.221371964158801,-0.235935167166931,-0.24838825683964,-0.210501647919372,-0.117247522266212,-0.0705310319256319,-0.00315269697627886,0.00397460941937815,1.01085201412138,1.00864587394122,1.01956527586242,1.01758871864971,0.995836769804887,0.994861679350349,0.988201586118919,0.996302933178612,-0.0913213853433028,-0.0650101579258888,-0.0574881024685708,-0.0538135380798621,-0.0208693748263356,-0.0270393307000701,-0.0204340253784738,-0.00435355087259646,0.0175443716750452,0.0481078508109794,0.016613082106788,0.0201356637163091,-0.00303490441100739,0.00111119205133947,-0.008276193749528,-0.00256459024676732,0.217317573946918,0.193081818772176,0.15878206469492,0.147446372801384,0.124730138307541,0.0944194831541194,0.0626983081164608,0.0159090711730832,21395.7473781024
"29",-0.215390250328851,-0.234183225283759,-0.245927894362509,-0.186184440167928,-0.131513193081332,-0.0942182625347167,0.000422531286989127,0.00389498004154315,1.00822705278452,1.01108677577785,1.02074426642638,1.01242484643245,1.00103265604118,1.00260830945741,0.989208105445702,0.995499881243618,-0.086494912045169,-0.0830416029120849,-0.066587354247945,-0.0505087147160036,-0.0120940893843677,-0.0365144191742678,-0.0326187786617984,-0.00157731880663088,0.00738972482666961,0.0424528782421742,0.0305139354685711,-0.00811580823424107,0.0062197790197242,-0.0053187931142566,-0.0228699256432699,0.00112114647704589,0.216682402002737,0.184313804925658,0.171579644289324,0.146886203781455,0.126761897461545,0.0971087114328444,0.0610204433703658,0.0159505466336835,21398.0629005082
"30",-0.22710992806046,-0.248141289809804,-0.264940594039969,-0.216591519810208,-0.158128732129403,-0.0520590046883056,-0.00807193849624978,0.0015291915831266,1.0078821969425,1.02219508227543,1.02346145355565,1.01831043139526,1.00925150913372,0.987227333878151,0.989842464259376,0.996695414206165,-0.0581679557398166,-0.0970379346645993,-0.0543292274668332,-0.0452606248370864,-0.0152656772130251,-0.0391832058539042,-0.0252840223634923,-0.00268881473394396,0.0381991215461246,0.0346134758739023,0.0203940299493455,0.0117284491428629,0.00502097470173419,0.00122947357508532,-0.0134612518158275,-0.000501202200843631,0.221516700121628,0.186387054678041,0.170865774004286,0.145232592292776,0.122205503491115,0.0978377473042646,0.0603377865529369,0.0159905614924911,21401.0630944507
